Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
304,1e-08,1e-08,1e-08,0.0,78.0,74433.40000000001,10884.5,61000
305,1e-08,1e-08,1e-08,0.0,75.0,73179.8,10186.4,61200
306,1e-08,1e-08,1e-08,0.0,66.0,64744.7,7996.799999999999,61400
307,1e-08,1e-08,1e-08,0.0,74.0,70262.0,9577.6,61600
308,1e-08,1e-08,1e-08,0.0,80.0,75721.5,10000.0,61800
309,1e-08,1e-08,1e-08,0.0,78.0,75543.5,10210.5,62000
310,1e-08,1e-08,1e-08,0.0,74.0,69806.9,9560.5,62200
311,1e-08,1e-08,1e-08,0.0,71.0,68291.1,9339.1,62400
312,1e-08,1e-08,1e-08,0.0,73.0,70516.5,8689.099999999999,62600
313,1e-08,1e-08,1e-08,0.0,76.0,70105.29999999999,9944.099999999999,62800
314,1e-08,1e-08,1e-08,0.0,63.0,59003.399999999994,8443.2,63000
315,1e-08,1e-08,1e-08,0.0,74.0,72846.5,9273.900000000001,63200
316,1e-08,1e-08,1e-08,0.0,78.0,71282.7,9829.2,63400
317,1e-08,1e-08,1e-08,0.0,75.0,72026.5,10122.0,63600
318,1e-08,1e-08,1e-08,0.0,78.0,73247.4,10703.8,63800
319,1e-08,1e-08,1e-08,0.0,81.0,79475.0,11276.6,64000
320,1e-08,1e-08,1e-08,0.0,79.0,71797.5,10203.400000000001,64200
321,1e-08,1e-08,1e-08,0.0,69.0,64620.3,9368.900000000001,64400
322,1e-08,1e-08,1e-08,0.0,77.0,69685.0,9643.7,64600
323,1e-08,1e-08,1e-08,0.0,75.0,70050.5,9814.400000000001,64800
324,1e-08,1e-08,1e-08,0.0,71.0,68620.5,9563.0,65000
325,1e-08,1e-08,1e-08,0.0,73.0,65381.4,9964.900000000001,65200
326,1e-08,1e-08,1e-08,0.0,76.0,75847.59999999999,10122.8,65400
327,1e-08,1e-08,1e-08,0.0,82.0,75459.29999999999,11610.599999999999,65600
328,1e-08,1e-08,1e-08,0.0,78.0,78108.4,10341.1,65800
329,1e-08,1e-08,1e-08,0.0,75.0,69466.5,9822.1,66000
330,1e-08,1e-08,1e-08,0.0,71.0,67463.1,9593.3,66200
331,1e-08,1e-08,1e-08,0.0,78.0,75120.4,9564.2,66400
332,1e-08,1e-08,1e-08,0.0,75.0,69475.5,9477.8,66600
333,1e-08,1e-08,1e-08,0.0,72.0,69178.90000000001,9135.399999999998,66800
334,1e-08,1e-08,1e-08,0.0,80.0,77411.2,10647.4,67000
335,1e-08,1e-08,1e-08,0.0,83.0,81959.20000000001,10948.599999999999,67200
336,1e-08,1e-08,1e-08,0.0,78.0,76932.5,10571.9,67400
337,1e-08,1e-08,1e-08,0.0,83.0,79597.3,11099.4,67600
338,1e-08,1e-08,1e-08,0.0,65.0,57807.8,8075.9,67800
339,1e-08,1e-08,1e-08,0.0,70.0,67980.5,8586.8,68000
340,1e-08,1e-08,1e-08,0.0,78.0,77053.2,10342.9,68200
341,1e-08,1e-08,1e-08,0.0,73.0,71064.5,9440.5,68400
342,1e-08,1e-08,1e-08,0.0,77.0,72791.90000000001,9588.3,68600
343,1e-08,1e-08,1e-08,0.0,76.0,69346.79999999999,9484.3,68800
344,1e-08,1e-08,1e-08,0.0,78.0,70577.3,10446.4,69000
345,1e-08,1e-08,1e-08,0.0,68.0,65772.5,8992.0,69200
346,1e-08,1e-08,1e-08,0.0,81.0,77079.5,10889.400000000001,69400
347,1e-08,1e-08,1e-08,0.0,79.0,76219.9,10510.5,69600
348,1e-08,1e-08,1e-08,0.0,79.0,75586.6,10423.099999999999,69800
